@relation 'after changing values-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0-weka.filters.supervised.instance.Resample-B0.0-S1-Z4.0'

@attribute Product_Category {'Traditional Wear',Outerwear,Athleisure,Bottoms,Tops}
@attribute Brand {'Forever 21',Wrangler,Uniqlo,Reebok,Gucci,'Louis Vuitton','Calvin Klein',Zara,Diesel,Versace,Levi’s,Balenciaga,Puma,'Under Armour',Adidas,'Ralph Lauren',GAP,Nike,'Tommy Hilfiger',H&M}
@attribute Product_Name {Tops,Hoodie,Trousers,Skirt,T-Shirt,Leggings,Shorts,'Polo Shirt',Palazzo,Dress,Jeans,Saree,'Casual Shirt',Sweatshirt,'Formal Shirt',Jacket,Jumpsuit,Kurta,'Track Pants',Blazer}
@attribute Gender {Women,Men}
@attribute Size {S,M,XXL,XL,L}
@attribute Color {White,Purple,Orange,Pink,Green,Blue,Black,Red,Yellow}
@attribute Season {Winter,All-Season,Summer}
@attribute Payment_Method {Card,UPI,Cash,'Net Banking'}
@attribute Customer_Type {New,Returning}
@attribute Selling_Price {Medium,Low,High}
@attribute Cost_Price {Medium,Low,High}
@attribute Discount_Percentage {Moderate,Large,Small}
@attribute Quantity_Sold {Medium,Low,'Very Low',High}
@attribute Total_Sales {Medium,High,'Very High',Low}
@attribute Stock_Availability {Medium,High,Low}
@attribute Customer_Age {Elder,Senior,Adult,Teen}
@attribute Purchase_Frequency {Moderate,Frequent,Infrequent}
@attribute Store_Rating {Poor,Average,Excellent}
@attribute Return_Rate {High,Low,Medium}
@attribute Markup {Medium,Low,High}
@attribute Sales_Category {'High Sales','Low Sales','Medium Sales'}

@data
Athleisure,Uniqlo,Tops,Women,S,Black,All-Season,Card,New,Low,Medium,Moderate,'Very Low',Medium,Low,Adult,Moderate,Poor,High,Low,'High Sales'
Tops,Zara,'Formal Shirt',Women,XL,Pink,Summer,UPI,New,Medium,Medium,Moderate,Low,High,Medium,Senior,Infrequent,Poor,High,Medium,'High Sales'
Bottoms,Uniqlo,Hoodie,Women,S,Pink,All-Season,'Net Banking',New,Medium,Medium,Small,'Very Low',Medium,High,Elder,Infrequent,Average,High,Medium,'High Sales'
Bottoms,Levi’s,Jacket,Men,L,Red,Summer,Cash,Returning,High,Medium,Small,'Very Low',Medium,Low,Senior,Moderate,Poor,Low,Medium,'High Sales'
Outerwear,Zara,'Casual Shirt',Men,XL,Black,Winter,Card,New,Medium,Medium,Small,'Very Low',Medium,Low,Teen,Moderate,Poor,Medium,Medium,'High Sales'
Bottoms,Adidas,Kurta,Men,XL,Red,All-Season,'Net Banking',Returning,Medium,Medium,Small,High,High,High,Senior,Moderate,Average,Low,Medium,'High Sales'
'Traditional Wear',H&M,Saree,Women,XXL,Purple,All-Season,UPI,Returning,Medium,Medium,Moderate,Medium,Medium,Medium,Senior,Moderate,Poor,High,Medium,'High Sales'
'Traditional Wear',Adidas,Jumpsuit,Women,L,Yellow,All-Season,Card,New,Medium,Medium,Large,High,Low,Low,Senior,Moderate,Excellent,High,Medium,'High Sales'
'Traditional Wear','Calvin Klein',Hoodie,Women,XL,Red,Summer,Card,Returning,Medium,Medium,Small,High,Medium,Medium,Teen,Moderate,Poor,High,Medium,'High Sales'
Outerwear,GAP,Tops,Men,M,Red,Summer,Cash,New,Medium,Medium,Moderate,High,Medium,Low,Senior,Moderate,Excellent,Medium,Medium,'High Sales'
Athleisure,Zara,Palazzo,Women,S,Green,All-Season,Card,New,High,Medium,Large,High,Medium,Low,Teen,Moderate,Average,Low,High,'High Sales'
Athleisure,GAP,'Track Pants',Men,S,Green,Winter,'Net Banking',New,Medium,Medium,Small,'Very Low',High,Medium,Senior,Moderate,Average,Medium,Medium,'High Sales'
'Traditional Wear','Under Armour',Kurta,Men,M,Black,All-Season,'Net Banking',Returning,Medium,Medium,Large,High,Medium,Low,Senior,Moderate,Average,Low,Medium,'High Sales'
Bottoms,'Calvin Klein',Sweatshirt,Women,XXL,Yellow,Winter,Card,New,Medium,Medium,Large,Medium,High,High,Senior,Moderate,Excellent,Low,Medium,'High Sales'
Tops,H&M,T-Shirt,Women,XXL,Pink,Summer,'Net Banking',Returning,Low,Medium,Moderate,'Very Low',High,Medium,Teen,Moderate,Average,High,Low,'High Sales'
'Traditional Wear','Tommy Hilfiger',T-Shirt,Women,L,Pink,All-Season,UPI,Returning,Medium,Medium,Moderate,'Very Low',Medium,Low,Adult,Moderate,Excellent,High,Medium,'High Sales'
Outerwear,Nike,'Polo Shirt',Men,M,Black,All-Season,Cash,Returning,Medium,High,Large,'Very Low',Medium,High,Elder,Moderate,Average,Medium,Low,'High Sales'
Athleisure,Levi’s,Jeans,Women,XXL,White,Summer,UPI,Returning,Medium,Medium,Small,'Very Low',Medium,Low,Teen,Moderate,Excellent,Medium,Medium,'High Sales'
Bottoms,'Calvin Klein',T-Shirt,Women,L,Green,Summer,Cash,New,Medium,Medium,Small,Low,Medium,Medium,Teen,Infrequent,Poor,Low,Medium,'High Sales'
Tops,Versace,Dress,Women,S,Green,Summer,'Net Banking',Returning,Medium,Medium,Large,High,Medium,Medium,Teen,Moderate,Excellent,High,Medium,'High Sales'
Bottoms,Adidas,Tops,Men,L,Pink,Summer,'Net Banking',Returning,High,Medium,Moderate,High,High,Medium,Elder,Moderate,Average,High,Medium,'High Sales'
Athleisure,Levi’s,Kurta,Women,S,Yellow,All-Season,Card,Returning,Medium,Low,Small,'Very Low',Medium,Medium,Adult,Infrequent,Excellent,High,Medium,'High Sales'
Athleisure,Nike,'Track Pants',Men,M,Green,Winter,Card,New,Low,Medium,Moderate,Low,Medium,Low,Adult,Moderate,Average,High,Low,'High Sales'
Bottoms,Levi’s,Jeans,Women,XL,White,Summer,Cash,New,Medium,Medium,Large,Medium,High,High,Senior,Moderate,Excellent,Low,Medium,'High Sales'
Bottoms,H&M,'Casual Shirt',Men,XXL,Red,Winter,Cash,Returning,Medium,Medium,Small,Low,Medium,Medium,Adult,Moderate,Average,High,Medium,'High Sales'
'Traditional Wear',Balenciaga,Jacket,Women,XXL,Purple,Summer,Card,Returning,Medium,Medium,Large,'Very Low',High,High,Adult,Moderate,Excellent,Low,Medium,'High Sales'
Athleisure,Puma,Leggings,Women,XXL,White,All-Season,UPI,Returning,Medium,Medium,Large,'Very Low',Medium,Medium,Senior,Infrequent,Average,Low,Medium,'High Sales'
Outerwear,Adidas,Tops,Women,S,Orange,Winter,Cash,Returning,Medium,Medium,Large,'Very Low',Medium,Medium,Senior,Infrequent,Average,High,Medium,'High Sales'
Athleisure,Gucci,Blazer,Women,M,Pink,Summer,Cash,New,Low,Medium,Moderate,'Very Low',Medium,Medium,Teen,Moderate,Poor,Medium,Low,'High Sales'
Outerwear,Zara,'Casual Shirt',Women,M,Black,All-Season,UPI,New,Medium,Medium,Large,Low,Medium,Low,Elder,Moderate,Poor,High,Medium,'High Sales'
Athleisure,'Tommy Hilfiger',Shorts,Men,M,Black,Winter,Cash,New,Medium,Medium,Large,'Very Low',Medium,Medium,Senior,Moderate,Excellent,High,Medium,'High Sales'
Outerwear,'Forever 21',Leggings,Men,XXL,Green,Winter,Card,New,Medium,Medium,Small,Low,Medium,Medium,Senior,Moderate,Excellent,High,Medium,'High Sales'
'Traditional Wear',Diesel,'Casual Shirt',Women,XXL,Blue,Summer,Cash,Returning,Medium,High,Small,High,High,Low,Elder,Moderate,Excellent,High,Medium,'High Sales'
Bottoms,Versace,Jumpsuit,Women,S,White,Summer,UPI,Returning,Medium,Medium,Small,'Very Low',Medium,Low,Senior,Moderate,Poor,Medium,Medium,'High Sales'
Bottoms,Uniqlo,Jeans,Women,M,Blue,Winter,'Net Banking',Returning,Medium,Low,Small,High,High,High,Senior,Moderate,Excellent,Low,High,'High Sales'
Bottoms,Nike,Leggings,Men,L,Purple,Winter,'Net Banking',Returning,Medium,Medium,Moderate,Low,High,Low,Teen,Moderate,Average,Low,Medium,'High Sales'
Tops,Zara,'Formal Shirt',Women,XXL,Blue,Summer,'Net Banking',New,Medium,Medium,Small,'Very Low',High,Low,Teen,Moderate,Excellent,Medium,Medium,'High Sales'
'Traditional Wear','Calvin Klein',Saree,Men,XL,Purple,Winter,Card,New,Medium,Medium,Large,Medium,High,High,Senior,Moderate,Average,High,Medium,'High Sales'
Athleisure,Uniqlo,Blazer,Women,XL,Purple,Winter,'Net Banking',New,Low,Medium,Large,Medium,High,High,Teen,Infrequent,Average,High,Low,'High Sales'
'Traditional Wear',Uniqlo,Dress,Women,S,Black,Summer,Card,New,Low,Medium,Large,High,High,Medium,Adult,Moderate,Average,Medium,Low,'High Sales'
Tops,H&M,Palazzo,Women,M,Red,Winter,UPI,New,Medium,Medium,Small,Low,High,Low,Elder,Moderate,Poor,Medium,Medium,'High Sales'
Outerwear,'Calvin Klein',Jeans,Women,S,Red,Winter,UPI,New,Medium,Medium,Large,Medium,Medium,Low,Elder,Frequent,Poor,Medium,Medium,'High Sales'
'Traditional Wear','Under Armour','Track Pants',Women,XXL,White,All-Season,Cash,New,Medium,Medium,Large,Low,Medium,High,Senior,Moderate,Excellent,Low,Medium,'High Sales'
Athleisure,Levi’s,Blazer,Men,S,Pink,Summer,'Net Banking',Returning,Medium,Low,Moderate,Medium,High,Low,Adult,Infrequent,Excellent,Low,Medium,'High Sales'
Athleisure,'Forever 21',Saree,Women,S,Black,Winter,Card,Returning,Medium,High,Small,Medium,Medium,Low,Teen,Moderate,Poor,Medium,Low,'High Sales'
Tops,Uniqlo,Dress,Men,S,Orange,All-Season,Cash,Returning,Medium,Medium,Large,Medium,High,Medium,Adult,Moderate,Average,Medium,Medium,'High Sales'
Outerwear,Reebok,Saree,Men,M,Pink,All-Season,Card,Returning,Medium,Medium,Moderate,High,High,Medium,Teen,Moderate,Excellent,High,Medium,'High Sales'
Bottoms,'Louis Vuitton',Blazer,Men,L,Red,All-Season,UPI,New,Medium,Medium,Small,'Very Low','Very High',Low,Elder,Moderate,Excellent,Low,Medium,'High Sales'
'Traditional Wear',Reebok,Sweatshirt,Women,S,White,Winter,Card,Returning,Medium,Medium,Small,Medium,High,Medium,Elder,Moderate,Average,High,Medium,'High Sales'
Outerwear,'Forever 21','Polo Shirt',Women,M,Green,Winter,Cash,Returning,Medium,Medium,Large,Low,Medium,Medium,Adult,Moderate,Excellent,Low,Medium,'High Sales'
Athleisure,Wrangler,'Formal Shirt',Women,M,Red,Winter,UPI,New,Medium,Low,Moderate,'Very Low',Medium,High,Teen,Moderate,Average,Medium,Medium,'High Sales'
'Traditional Wear',Puma,Sweatshirt,Women,L,Black,All-Season,Cash,New,High,Low,Moderate,'Very Low',Medium,Low,Teen,Infrequent,Average,Low,High,'High Sales'
Bottoms,GAP,Blazer,Women,M,Blue,Winter,'Net Banking',Returning,Medium,Medium,Moderate,'Very Low',Medium,Medium,Teen,Moderate,Average,High,Medium,'High Sales'
Athleisure,Zara,Jacket,Women,M,Pink,Summer,'Net Banking',New,Medium,Medium,Moderate,Low,Medium,Medium,Elder,Moderate,Poor,High,Medium,'High Sales'
'Traditional Wear',Diesel,Kurta,Men,XL,Pink,All-Season,'Net Banking',Returning,Medium,Medium,Large,'Very Low',High,Low,Senior,Moderate,Excellent,Medium,Medium,'High Sales'
Outerwear,'Calvin Klein','Formal Shirt',Men,XXL,White,All-Season,Cash,New,Medium,Medium,Small,Low,Medium,High,Adult,Moderate,Average,Low,Medium,'High Sales'
Outerwear,Uniqlo,Saree,Women,L,White,All-Season,UPI,Returning,Medium,Medium,Moderate,'Very Low',High,Low,Senior,Moderate,Average,Medium,Medium,'High Sales'
Tops,Versace,'Formal Shirt',Women,XXL,Black,Summer,UPI,Returning,Medium,High,Large,Low,High,Medium,Elder,Moderate,Poor,High,Medium,'High Sales'
'Traditional Wear',Adidas,'Casual Shirt',Men,L,Purple,All-Season,Cash,New,Medium,Medium,Moderate,'Very Low',High,Low,Adult,Infrequent,Excellent,Low,Medium,'High Sales'
Outerwear,Puma,'Casual Shirt',Women,XXL,Purple,Winter,Card,New,Medium,Medium,Moderate,'Very Low',Medium,Medium,Elder,Moderate,Average,High,Medium,'High Sales'
Tops,Balenciaga,Tops,Women,XXL,Yellow,Summer,UPI,Returning,Medium,Medium,Moderate,'Very Low',Medium,High,Adult,Moderate,Poor,Low,Medium,'High Sales'
Tops,'Ralph Lauren',Blazer,Women,XXL,Green,Summer,UPI,Returning,Medium,Low,Moderate,'Very Low',Medium,Medium,Elder,Moderate,Excellent,Low,Medium,'High Sales'
'Traditional Wear','Louis Vuitton',Dress,Men,XL,Pink,Summer,UPI,Returning,Medium,Medium,Small,'Very Low',High,High,Elder,Frequent,Average,Low,Medium,'High Sales'
Athleisure,Zara,Jeans,Women,M,Purple,All-Season,UPI,Returning,Medium,Medium,Moderate,Medium,Medium,Medium,Senior,Moderate,Excellent,Medium,Medium,'High Sales'
Outerwear,'Louis Vuitton',Dress,Men,L,Black,All-Season,Cash,New,Medium,Medium,Moderate,Medium,High,Low,Elder,Moderate,Excellent,High,Medium,'High Sales'
Bottoms,Uniqlo,Palazzo,Women,M,Green,Winter,Cash,Returning,Medium,Medium,Large,Medium,Low,High,Teen,Moderate,Excellent,High,Medium,'High Sales'
Athleisure,Nike,Shorts,Women,M,Green,Summer,Cash,Returning,High,Medium,Moderate,High,High,Low,Adult,Moderate,Poor,Medium,Medium,'High Sales'
Tops,Reebok,Palazzo,Men,XL,Yellow,Winter,Card,New,Medium,Low,Moderate,'Very Low',High,High,Elder,Moderate,Poor,Low,Medium,'High Sales'
'Traditional Wear','Louis Vuitton',Dress,Men,L,Blue,All-Season,Cash,New,Medium,Medium,Moderate,Low,Medium,Medium,Senior,Moderate,Poor,Medium,High,'High Sales'
Athleisure,'Calvin Klein',Tops,Women,XL,Pink,All-Season,UPI,Returning,Medium,Medium,Moderate,High,Medium,Medium,Teen,Moderate,Poor,Medium,Medium,'High Sales'
'Traditional Wear',Nike,Shorts,Women,XXL,Pink,All-Season,Cash,Returning,Medium,Medium,Small,High,High,Low,Adult,Infrequent,Excellent,Medium,Medium,'High Sales'
Tops,Nike,Trousers,Men,XL,Pink,All-Season,Cash,Returning,Medium,Medium,Moderate,Low,Medium,Low,Adult,Moderate,Excellent,High,Medium,'High Sales'
'Traditional Wear',Wrangler,'Casual Shirt',Women,XXL,Green,Summer,Card,Returning,Medium,Medium,Moderate,Low,Medium,Medium,Senior,Moderate,Poor,High,Medium,'High Sales'
Bottoms,Levi’s,Dress,Women,XXL,Blue,Summer,Card,Returning,Medium,Medium,Small,Medium,High,High,Elder,Moderate,Poor,High,Medium,'High Sales'
'Traditional Wear',Reebok,Jacket,Men,XXL,Yellow,Summer,Card,New,Medium,Medium,Large,High,High,Low,Senior,Infrequent,Poor,Low,Medium,'High Sales'
Outerwear,Zara,Leggings,Women,XXL,Yellow,Winter,Card,New,High,Medium,Small,'Very Low',Medium,High,Teen,Moderate,Average,Medium,High,'High Sales'
Tops,Zara,'Formal Shirt',Men,S,Pink,Summer,Card,New,Medium,Medium,Moderate,Medium,Medium,Medium,Adult,Moderate,Poor,Medium,Medium,'High Sales'
'Traditional Wear',Versace,Blazer,Men,L,Pink,All-Season,'Net Banking',New,Medium,Medium,Moderate,'Very Low',High,Medium,Elder,Moderate,Poor,Medium,Medium,'High Sales'
Tops,'Under Armour',Leggings,Men,XL,Green,Winter,UPI,Returning,Medium,Medium,Large,Medium,Medium,Low,Adult,Moderate,Average,High,Medium,'High Sales'
'Traditional Wear','Louis Vuitton',Shorts,Women,S,Red,Summer,Card,New,High,Medium,Large,High,Medium,Medium,Senior,Moderate,Average,Medium,Medium,'High Sales'
'Traditional Wear','Calvin Klein',Jumpsuit,Women,S,Yellow,Winter,Card,New,Medium,Medium,Large,Medium,Medium,Low,Senior,Frequent,Average,Low,Medium,'High Sales'
Tops,Balenciaga,Jeans,Men,XL,Red,Winter,Cash,Returning,Medium,Low,Large,Medium,High,High,Teen,Frequent,Excellent,High,Medium,'High Sales'
Outerwear,Wrangler,Dress,Men,M,Red,All-Season,Card,Returning,Low,Medium,Large,'Very Low',High,Medium,Teen,Moderate,Excellent,High,Low,'High Sales'
Athleisure,Versace,Trousers,Women,L,Red,Summer,Card,New,Medium,Medium,Moderate,Medium,High,Low,Adult,Moderate,Excellent,Medium,Medium,'High Sales'
'Traditional Wear',Gucci,Skirt,Women,M,Orange,All-Season,UPI,New,Medium,Medium,Large,Medium,Medium,Medium,Adult,Moderate,Poor,High,Medium,'High Sales'
Athleisure,Uniqlo,Palazzo,Women,L,Red,All-Season,Cash,Returning,High,Medium,Small,Low,High,High,Adult,Moderate,Average,High,Medium,'High Sales'
Tops,GAP,'Formal Shirt',Men,XL,White,Summer,Cash,Returning,Medium,Medium,Moderate,Low,High,Low,Elder,Moderate,Poor,Low,High,'High Sales'
'Traditional Wear',H&M,Hoodie,Women,XXL,Blue,Summer,UPI,Returning,Medium,Medium,Small,'Very Low',High,High,Elder,Moderate,Poor,Medium,Medium,'High Sales'
Athleisure,Puma,'Formal Shirt',Women,M,Pink,All-Season,UPI,Returning,Low,High,Large,'Very Low',Medium,Low,Elder,Frequent,Excellent,Medium,Low,'High Sales'
Tops,Nike,Tops,Women,XXL,Green,All-Season,UPI,New,Low,High,Small,High,High,High,Elder,Moderate,Excellent,Medium,Low,'High Sales'
Athleisure,'Tommy Hilfiger',Blazer,Men,S,Red,Summer,UPI,Returning,Medium,Medium,Large,Medium,Medium,Low,Elder,Moderate,Excellent,High,Medium,'High Sales'
Tops,Versace,Shorts,Men,M,Orange,All-Season,Card,Returning,Medium,Low,Small,'Very Low',High,Low,Senior,Moderate,Excellent,High,Medium,'High Sales'
'Traditional Wear','Tommy Hilfiger',Sweatshirt,Men,XXL,Yellow,Summer,'Net Banking',New,Medium,Low,Large,High,Medium,Low,Teen,Moderate,Poor,Medium,Medium,'High Sales'
Athleisure,Puma,Jacket,Women,XXL,Blue,All-Season,Cash,New,High,Medium,Small,High,Medium,Medium,Elder,Moderate,Poor,Low,Medium,'High Sales'
Tops,GAP,'Polo Shirt',Men,XXL,Purple,All-Season,Cash,New,Low,Medium,Small,Medium,Medium,Low,Elder,Frequent,Average,High,Medium,'High Sales'
Tops,Balenciaga,Hoodie,Men,L,Orange,All-Season,Cash,Returning,Medium,Medium,Moderate,'Very Low',High,Medium,Adult,Moderate,Average,Low,Medium,'High Sales'
Tops,Nike,Palazzo,Men,XL,Pink,All-Season,Card,Returning,High,Medium,Large,Low,Medium,High,Adult,Frequent,Average,Medium,High,'High Sales'
Bottoms,'Louis Vuitton',Leggings,Men,M,Black,All-Season,Cash,Returning,Medium,Medium,Large,'Very Low',Medium,High,Senior,Moderate,Average,Low,Medium,'High Sales'
Bottoms,'Ralph Lauren','Polo Shirt',Men,M,Black,Summer,Card,Returning,Medium,Medium,Small,'Very Low',High,High,Adult,Moderate,Poor,High,Medium,'High Sales'
Athleisure,Balenciaga,Skirt,Men,XXL,Blue,Summer,Cash,Returning,Medium,Medium,Small,'Very Low',High,Medium,Elder,Frequent,Poor,Low,Medium,'High Sales'
Bottoms,Puma,'Polo Shirt',Women,S,White,All-Season,Card,Returning,Medium,Medium,Large,'Very Low',High,Medium,Elder,Moderate,Poor,Low,Medium,'High Sales'
Outerwear,'Tommy Hilfiger',Blazer,Men,XXL,White,Summer,UPI,Returning,Medium,Medium,Moderate,'Very Low',High,High,Senior,Moderate,Average,High,Medium,'High Sales'
Tops,Versace,Kurta,Men,XL,Yellow,Summer,Card,New,Medium,Medium,Moderate,Medium,Medium,Medium,Elder,Moderate,Average,Low,Medium,'High Sales'
'Traditional Wear',Balenciaga,Blazer,Men,XL,Orange,Winter,Cash,New,Medium,Medium,Large,'Very Low',High,Low,Adult,Moderate,Poor,Low,Medium,'High Sales'
Bottoms,Adidas,Tops,Women,M,Black,Winter,UPI,New,Low,Medium,Moderate,Low,Medium,High,Elder,Infrequent,Average,High,Low,'High Sales'
'Traditional Wear',Nike,'Casual Shirt',Men,S,Purple,All-Season,Cash,Returning,Medium,Medium,Moderate,High,High,Low,Elder,Moderate,Poor,Medium,Medium,'High Sales'
Tops,'Tommy Hilfiger','Polo Shirt',Men,S,Black,All-Season,Card,Returning,Low,High,Moderate,'Very Low',Medium,Low,Senior,Moderate,Poor,High,Low,'High Sales'
'Traditional Wear','Tommy Hilfiger',Saree,Women,M,Orange,Winter,Cash,New,Medium,Low,Small,'Very Low',High,Low,Elder,Moderate,Poor,High,Medium,'High Sales'
Outerwear,'Ralph Lauren',Leggings,Women,XXL,Pink,Winter,Cash,New,Medium,Medium,Moderate,'Very Low',Medium,High,Adult,Moderate,Average,High,Medium,'High Sales'
Outerwear,Wrangler,Jeans,Women,L,Red,Winter,Cash,Returning,Medium,Medium,Large,'Very Low',High,Medium,Senior,Infrequent,Average,Low,Medium,'High Sales'
'Traditional Wear',Levi’s,Sweatshirt,Men,XXL,Yellow,Winter,Cash,New,Medium,Medium,Large,'Very Low',Medium,Medium,Senior,Moderate,Poor,Low,Medium,'High Sales'
Outerwear,'Forever 21',Leggings,Women,XXL,Black,All-Season,'Net Banking',Returning,High,Medium,Large,High,Medium,Low,Senior,Moderate,Average,High,High,'High Sales'
Athleisure,Gucci,Blazer,Women,M,Purple,Summer,'Net Banking',New,Medium,Medium,Small,'Very Low',Medium,Low,Teen,Moderate,Excellent,Medium,Medium,'High Sales'
Tops,Reebok,Tops,Women,S,Pink,All-Season,UPI,Returning,Medium,Low,Large,'Very Low',Medium,Low,Senior,Moderate,Excellent,High,Medium,'High Sales'
Athleisure,Gucci,Blazer,Men,XXL,Pink,Winter,Cash,New,Medium,Medium,Moderate,High,Medium,Low,Elder,Moderate,Average,High,Medium,'High Sales'
Bottoms,Balenciaga,Jeans,Women,L,White,All-Season,UPI,New,Medium,Medium,Moderate,'Very Low',Medium,Medium,Adult,Moderate,Excellent,Medium,Medium,'High Sales'
Athleisure,Gucci,Shorts,Men,XXL,Green,Summer,'Net Banking',New,Medium,Medium,Moderate,Low,Medium,Medium,Senior,Infrequent,Average,Low,Medium,'High Sales'
Outerwear,Versace,Kurta,Women,M,Pink,Winter,UPI,New,Low,Medium,Small,Low,Medium,Medium,Teen,Moderate,Excellent,High,Medium,'High Sales'
Bottoms,'Tommy Hilfiger',Saree,Men,M,Yellow,All-Season,'Net Banking',Returning,Medium,Medium,Large,'Very Low',Medium,Low,Elder,Moderate,Poor,Low,Medium,'High Sales'
Outerwear,'Calvin Klein','Track Pants',Men,XL,Blue,All-Season,UPI,Returning,Medium,High,Small,High,High,Medium,Adult,Moderate,Excellent,Low,Medium,'High Sales'
Outerwear,Levi’s,'Formal Shirt',Men,L,Red,Winter,Cash,Returning,Medium,Medium,Moderate,High,Medium,High,Senior,Infrequent,Average,High,Medium,'High Sales'
'Traditional Wear','Forever 21',Sweatshirt,Men,XL,Purple,Winter,UPI,Returning,Medium,Medium,Moderate,'Very Low',Medium,Low,Elder,Moderate,Excellent,High,Medium,'High Sales'
Athleisure,GAP,Skirt,Men,S,Yellow,Summer,'Net Banking',Returning,High,Medium,Small,High,High,High,Adult,Moderate,Average,Medium,High,'High Sales'
Outerwear,'Forever 21',Blazer,Men,S,Yellow,All-Season,Card,Returning,Medium,High,Small,Low,Medium,High,Elder,Moderate,Excellent,High,Medium,'High Sales'
Bottoms,Gucci,Blazer,Women,S,Yellow,Summer,Cash,Returning,Medium,Medium,Moderate,High,High,Low,Senior,Frequent,Average,Medium,Medium,'High Sales'
Tops,Levi’s,T-Shirt,Men,M,Green,Winter,UPI,Returning,Medium,Medium,Moderate,'Very Low',Medium,Low,Adult,Moderate,Average,High,Medium,'High Sales'
Outerwear,Balenciaga,'Polo Shirt',Men,XL,Red,All-Season,UPI,New,Medium,Medium,Small,Low,Medium,Medium,Senior,Moderate,Average,Low,Medium,'High Sales'
Outerwear,Puma,'Casual Shirt',Men,M,Purple,Winter,UPI,Returning,Medium,High,Small,Low,High,Medium,Teen,Moderate,Poor,Low,Medium,'High Sales'
Athleisure,Wrangler,Tops,Men,M,Blue,Summer,UPI,Returning,Medium,Medium,Large,'Very Low',High,High,Senior,Moderate,Excellent,Low,Medium,'High Sales'
Outerwear,Versace,Kurta,Men,S,Green,Winter,Card,New,Medium,Medium,Large,High,Medium,Low,Senior,Moderate,Excellent,High,Medium,'High Sales'
Bottoms,'Ralph Lauren','Polo Shirt',Men,S,Purple,All-Season,'Net Banking',New,Medium,Medium,Moderate,High,Medium,High,Adult,Moderate,Excellent,Medium,Medium,'High Sales'
Athleisure,GAP,Leggings,Men,M,White,Winter,'Net Banking',New,Medium,High,Moderate,High,Medium,High,Elder,Moderate,Poor,High,Low,'High Sales'
'Traditional Wear','Calvin Klein',Tops,Men,XL,Blue,Summer,UPI,Returning,Medium,Medium,Large,High,Medium,Low,Adult,Moderate,Average,Low,Medium,'High Sales'
Athleisure,Uniqlo,'Formal Shirt',Men,XL,Green,All-Season,UPI,New,Medium,Medium,Moderate,Low,Medium,Low,Elder,Moderate,Excellent,High,Medium,'High Sales'
'Traditional Wear',Versace,Jumpsuit,Women,XXL,Blue,All-Season,'Net Banking',Returning,Low,Medium,Small,'Very Low',High,Low,Teen,Moderate,Poor,High,Medium,'High Sales'
Outerwear,Versace,'Polo Shirt',Women,S,Black,Winter,'Net Banking',New,Medium,Low,Small,'Very Low','Very High',Medium,Elder,Infrequent,Excellent,Medium,Medium,'High Sales'
Bottoms,Nike,Skirt,Women,S,Yellow,Winter,UPI,Returning,Medium,Medium,Small,High,High,Low,Teen,Infrequent,Excellent,Low,Medium,'High Sales'
Outerwear,Nike,'Formal Shirt',Women,M,Blue,Winter,'Net Banking',Returning,Medium,Medium,Small,Medium,Medium,High,Senior,Moderate,Average,Low,Medium,'High Sales'
'Traditional Wear','Ralph Lauren',Trousers,Men,M,Purple,Summer,Card,Returning,Medium,Medium,Small,Low,High,High,Adult,Moderate,Average,Low,Medium,'High Sales'
Athleisure,Wrangler,Shorts,Women,XL,White,Winter,UPI,Returning,Medium,Medium,Large,Low,Medium,High,Elder,Moderate,Excellent,Medium,Medium,'High Sales'
Outerwear,Versace,Sweatshirt,Women,XL,Green,Winter,Card,Returning,Low,Medium,Moderate,High,Medium,Medium,Senior,Moderate,Average,Low,Low,'High Sales'
Bottoms,Diesel,'Formal Shirt',Women,XXL,White,Winter,Card,New,Medium,Medium,Moderate,Medium,High,Low,Elder,Moderate,Excellent,High,Medium,'High Sales'
Outerwear,Zara,'Polo Shirt',Women,M,White,All-Season,UPI,Returning,Medium,Medium,Moderate,High,High,Medium,Senior,Moderate,Average,High,Low,'High Sales'
'Traditional Wear',H&M,Hoodie,Men,S,Orange,Winter,Card,New,Medium,High,Small,Low,High,Medium,Senior,Moderate,Excellent,Medium,Medium,'High Sales'
Athleisure,Reebok,Trousers,Women,XL,Red,All-Season,Cash,New,Medium,Medium,Large,High,High,High,Teen,Moderate,Average,Medium,Medium,'High Sales'
Tops,Diesel,Jumpsuit,Men,XXL,Red,Summer,Cash,Returning,Medium,Medium,Large,Medium,High,Medium,Adult,Moderate,Excellent,Medium,Medium,'High Sales'
Athleisure,Puma,Jumpsuit,Men,S,White,All-Season,Cash,New,High,Medium,Large,'Very Low',High,Medium,Elder,Moderate,Average,Low,Medium,'High Sales'
'Traditional Wear','Calvin Klein','Track Pants',Men,S,Black,Summer,Card,New,Medium,Medium,Large,Medium,Medium,Low,Senior,Moderate,Poor,Medium,Medium,'High Sales'
Athleisure,'Louis Vuitton',Skirt,Men,XL,Green,Winter,UPI,New,Medium,Medium,Large,Medium,Medium,High,Senior,Infrequent,Poor,Medium,Medium,'High Sales'
Bottoms,H&M,'Polo Shirt',Men,M,Orange,Summer,'Net Banking',New,Medium,Low,Small,Medium,Medium,Low,Elder,Moderate,Poor,Low,Medium,'High Sales'
